,year,make,model,search,path_,path_to
163,2020,audi,a4,audi_a4_2020,audi_a4_2020.jpg,audi_a4_2020
164,2019,chevrolet,malibu,chevrolet_malibu_2019,chevrolet_malibu_2019.jpg,chevrolet_malibu_2019
165,2019,lincoln,continental,lincoln_continental_2019,lincoln_continental_2019.jpg,lincoln_continental_2019
166,2015,dodge,dart,dodge_dart_2015,dodge_dart_2015.jpg,dodge_dart_2015
167,2020,cadillac,ct4,cadillac_ct4_2020,cadillac_ct4_2020.jpg,cadillac_ct4_2020
168,2023,honda,accord,honda_accord_2023,honda_accord_2023.jpg,honda_accord_2023
169,2019,mercedes-benz,a class,mercedes-benz_a-class_2019,mercedes-benz_a-class_2019.jpg,mercedes-benz_a-class_2019
170,2022,nissan,versa,nissan_versa_2022,nissan_versa_2022.jpg,nissan_versa_2022
171,2021,acura,ilx,acura_ilx_2021,acura_ilx_2021.jpg,acura_ilx_2021
172,2019,genesis,g70,genesis_g70_2019,genesis_g70_2019.jpg,genesis_g70_2019
173,2021,bmw,3 series,bmw_3-series_2021,bmw_3-series_2021.jpg,bmw_3-series_2021
174,2017,honda,civic,honda_civic_2017,honda_civic_2017.jpg,honda_civic_2017
175,2015,toyota,camry,toyota_camry_2015,toyota_camry_2015.jpg,toyota_camry_2015
176,2018,genesis,g80,genesis_g80_2018,genesis_g80_2018.jpg,genesis_g80_2018
177,2018,subaru,wrx,subaru_wrx_2018,subaru_wrx_2018.jpg,subaru_wrx_2018
178,2018,kia,optima,kia_optima_2018,kia_optima_2018.jpg,kia_optima_2018
179,2013,lexus,es,lexus_es_2013,lexus_es_2013.jpg,lexus_es_2013
180,2020,mazda,mazda6,mazda_mazda6_2020,mazda_mazda6_2020.jpg,mazda_mazda6_2020
181,2020,kia,stinger,kia_stinger_2020,kia_stinger_2020.jpg,kia_stinger_2020
182,2016,chevrolet,malibu,chevrolet_malibu_2016,chevrolet_malibu_2016.jpg,chevrolet_malibu_2016
183,2016,cadillac,xts,cadillac_xts_2016,cadillac_xts_2016.jpg,cadillac_xts_2016
184,2021,volkswagen,jetta,volkswagen_jetta_2021,volkswagen_jetta_2021.jpg,volkswagen_jetta_2021
185,2013,lexus,gs,lexus_gs_2013,lexus_gs_2013.jpg,lexus_gs_2013
186,2022,audi,a4,audi_a4_2022,audi_a4_2022.jpg,audi_a4_2022
187,2019,subaru,impreza,subaru_impreza_2019,subaru_impreza_2019.jpeg,subaru_impreza_2019
188,2022,volkswagen,jetta,volkswagen_jetta_2022,volkswagen_jetta_2022.jpg,volkswagen_jetta_2022
189,2022,genesis,g70,genesis_g70_2022,genesis_g70_2022.jpg,genesis_g70_2022
190,2018,honda,clarity,honda_clarity_2018,honda_clarity_2018.webp,honda_clarity_2018
191,2018,subaru,impreza,subaru_impreza_2018,subaru_impreza_2018.webp,subaru_impreza_2018
192,2015,infiniti,q50,infiniti_q50_2015,infiniti_q50_2015.jpg,infiniti_q50_2015
193,2018,lincoln,mkz,lincoln_mkz_2018,lincoln_mkz_2018.jpg,lincoln_mkz_2018
194,2017,buick,regal,buick_regal_2017,buick_regal_2017.jpg,buick_regal_2017
195,2018,chevrolet,malibu,chevrolet_malibu_2018,chevrolet_malibu_2018.jpg,chevrolet_malibu_2018
196,2018,hyundai,sonata,hyundai_sonata_2018,hyundai_sonata_2018.jpg,hyundai_sonata_2018
197,2019,ford,fiesta,ford_fiesta_2019,ford_fiesta_2019.jpg,ford_fiesta_2019
198,2023,acura,integra,acura_integra_2023,acura_integra_2023.jpg,acura_integra_2023
199,2013,ford,taurus,ford_taurus_2013,ford_taurus_2013.jpg,ford_taurus_2013
200,2016,bmw,6 series,bmw_6-series_2016,bmw_6-series_2016.jpg,bmw_6-series_2016
201,2016,acura,tlx,acura_tlx_2016,acura_tlx_2016.jpg,acura_tlx_2016
202,2015,honda,civic,honda_civic_2015,honda_civic_2015.jpg,honda_civic_2015
203,2018,audi,a4,audi_a4_2018,audi_a4_2018.jpg,audi_a4_2018
204,2015,audi,s8,audi_s8_2015,audi_s8_2015.jpg,audi_s8_2015
205,2021,nissan,versa,nissan_versa_2021,nissan_versa_2021.jpg,nissan_versa_2021
206,2017,chevrolet,cruze,chevrolet_cruze_2017,chevrolet_cruze_2017.jpg,chevrolet_cruze_2017
